Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
0,0.8002423752777217,,,,,0.7045004401408451,0.7841934934423437,0.0,,,,,,,0.6938659290595509,,0.6274823099748916
1,0.9071297429620563,,,,,0.5922771152754117,0.7963963370446011,,,,,,0.5570291777188329,,0.8364894867441557,,0.36470588235294116
2,0.7268611670020121,,,,,0.01971830985915493,0.9238370388979609,,,0.39244186046511625,,,,0.2159709618874773,0.9241285030758715,,0.9583348442542698
3,0.9453703703703704,,,,,0.6537388763448001,0.8804898648648649,0.4745152354570637,,,,,0.0,,0.791189135475323,,0.8388984509466437
4,0.9293105859320375,,,,,0.819156099203232,0.8688027785344593,,,,,,0.3036978756884343,,0.6216668813602989,,0.6572164948453608
5,0.8591603053435114,,,,,0.37626494940202393,0.8764995386035066,,,,,,0.0,0.35051546391752575,0.8789885611077664,,0.9555886736214605
6,0.8329297820823245,,,,,0.6645613659476529,0.8206967919972404,,,,,0.5988372093023255,0.030418250950570342,0.0,0.6138790035587188,,0.5719344842850819
7,0.8827581766675251,,,,,0.511314251461112,0.89824604743083,,,,,,0.25075528700906347,,0.616571771051843,,0.686858316221766
8,0.9114590363071939,,,,,0.49859008607895516,0.801536262951054,,,,,,0.1891891891891892,,0.6522061000888363,,0.608583055863855
9,0.5445544554455446,,,,,0.602078730668809,0.8235686069201846,,,,,,0.45689655172413796,,0.8108156504610977,,0.016666666666666666
10,0.7861936720997124,,,,,0.7914153457707953,0.8625015894544992,,,,,,0.0,,0.5519840390157393,,0.5455510348487529
11,,,,,,0.6800781049278043,0.8669388226685409,,,,,,,,0.0,,0.33080568720379144
12,0.8159808524348706,,,,,0.47931921630714425,0.8293922268490977,0.0,,,,,0.0,,0.6603909557697505,,0.6849775784753364
13,0.7627872498146775,,,,,0.718121783043605,0.8474204878677537,0.7072085434589143,,,,,0.0,,0.49220103986135183,,0.7441860465116279
14,0.9573562083436189,,,,,0.5176168153636777,0.8800078334825425,,,,,,0.13253012048192772,,0.7985394796896395,,0.786923076923077
15,0.8171104321257093,,,,,0.6432874741480082,0.8813962635201573,,,,,,,0.6571428571428571,0.6104886769964243,,0.6217726909768432
16,0.6376021798365122,,,,,0.5343838148040074,0.7363736129740276,,,,,,0.4969408565601632,,0.8715572582315179,,0.0
17,0.887810360682538,,,,,0.6443520854979962,0.9098710200664522,,,,,0.0,0.08074534161490683,,0.7988851400909491,,0.564528899445764
18,0.9350273399807012,,,,,0.5824637312293205,0.8881448902945246,,,,,,0.5148514851485149,,0.8513300737548687,,0.6428571428571429
19,0.9354306343476019,,,,,0.7420741989881956,0.8678277992802336,0.7835281023928771,,,,,0.574222668004012,0.4748201438848921,0.7306818181818182,,0.6104319478402608
20,0.0,,,,,0.288,0.8964849921011059,,,0.0,,,,0.3820662768031189,0.979145349120499,,0.952156265854896
21,0.5868620037807183,,,,,0.5801299616378298,0.8571541231828816,,0.0,,,0.0,0.0,0.4138157894736842,0.44360902255639095,,0.66015625
22,0.9550880287235047,,,,,0.6477720044087545,0.8562649368385115,0.0,,,,,0.04081632653061224,,0.5230578089600234,,
23,0.9137586041299824,,,,,0.6230342275670675,0.8639816589104845,0.7506400409626216,,,,0.3076923076923077,0.7111959287531806,,0.5620132953466287,,0.5160984848484849
24,0.5509445893605248,,,0.0,,0.4007719523962689,0.8647926696692033,0.29686255773212294,,,,,,0.6722408026755853,0.6147696992767415,,0.15862068965517243
25,0.8885522959183674,,,,,0.5871843567559963,0.7942218322446459,0.0,,,,,0.0,,0.8139281288723668,,0.6366746493328772
26,0.3504775900073475,,,0.6499663752521856,,0.17600452744765138,0.9297028830046727,,,,,,,0.0,0.887375651350071,,0.9729939770740237
27,0.8489523370941745,,,,,0.7060430729668917,0.8782910121323833,0.8701690441777163,,,,,,,0.1670235546038544,,0.6141414141414141
28,0.9460577846744994,,,,,0.4855072463768116,0.6453567937438905,,,,,,,,0.857594400857933,,0.42118863049095606
29,0.9483205501190162,,,,,0.605452789540153,0.8240004853485409,0.46065057712486884,,,,,0.8128654970760234,0.0,0.6650882479552304,,0.5894236482471776
30,0.8684370257966616,,,,,0.5610916374561843,0.8264178965933352,0.0,,,,,0.0,,0.6472282217422606,,0.7886552132701422
31,0.6932761853736941,,0.9718321917808219,,,0.7146986313015388,0.8564863445378151,0.640673107548572,,,,0.618334892422825,0.52,,0.0,,0.6064593301435407
32,0.755771567436209,,,,,0.21401515151515152,0.7914298423367766,0.8162381596752368,,,,,,0.30985915492957744,0.9275904104022755,,0.9726609963547995
33,0.9100292345325458,,,,,0.8706896551724138,0.906921033146043,,,,,,0.3757700205338809,,0.795984246884886,,0.7220822837951302
34,0.7095959595959596,,,,,0.47742363877822047,0.7930870962642921,,,,,,0.2300469483568075,,0.8129757785467128,,0.06451612903225806
35,0.4582431847684985,,,,,0.7118606539227987,0.8489294083657025,,,,,,0.8102134146341463,,0.40967115712688984,,0.2967032967032967
36,0.8997074275647278,,,,,0.6065130496120386,0.81640625,,,,,,0.0957983193277311,0.0,0.597457627118644,,0.3193717277486911
37,0.9261028378758078,,,,,0.563801652892562,0.7730966445770487,0.0,,,,,0.0,0.0,0.6122016331658291,,0.490521327014218
38,0.7372736590365562,,,,,0.7198861549761293,0.8039410580722113,,,,,,0.0,0.3108108108108108,0.797940797940798,,0.47939767282683093
39,0.90850927703135,,,,,0.6786128198270482,0.911493382058024,0.0,,,,,0.14323607427055704,,0.8019913582566222,,0.0
40,0.3323868677905945,,,,,0.60431654676259,0.7984348941629249,0.0,,,,,0.17603686635944701,,0.5542271004834706,,0.6131491186279181
41,0.8578255675029869,,,,,0.6290135396518375,0.9182777678019194,,,,,,,,0.8345756191392162,,0.836141131595677
42,0.29913473423980225,,,,,0.674381582169973,0.777082206249839,,,,,,0.2597560975609756,,0.6975167048967787,,0.09963985594237695
43,0.7961086339683826,,0.0,,,0.6099416355170831,0.784497270825894,,,,,0.418523372651813,0.0,,0.7105026929982047,,0.2576530612244898
44,0.8727225403435711,,,,,0.6758579793936699,0.9005930754434708,0.0,,,,0.7780082987551867,0.0,,0.854034039236066,,0.46284501061571126
45,0.9193089875355347,,,,,0.5607424464447701,0.8263489454943851,0.0,,,,,0.7429934406678592,,0.7054965646470955,,0.6778672590946959
46,0.6625642909625276,,,,,0.12722298221614228,0.9236672351152962,,,0.37735849056603776,,,0.0,0.28217821782178215,0.8549158179172729,,0.954964967383426
47,0.0,,0.7776217228464419,,,0.6426102249984839,0.784815499076247,0.7458991024450634,,,,,,,0.0,,0.0
48,0.5912882298424467,0.0,,0.0,,0.64902089384428,0.8852164794611708,,0.0,,,0.0,0.5391304347826087,0.28450704225352114,0.3783881460065052,,0.4468956823195714
49,0.7604880883207438,,,0.6650612959719789,,0.08930669800235018,0.9284556523050247,,,0.0,,,0.0,0.0,0.9043230688544243,,0.9558127637805346
50,0.8257611241217798,0.23639774859287055,0.8436860068259385,0.0,,0.7777400938330225,0.86647124229253,,,,,0.7354085603112841,0.15384615384615385,0.0,0.7844141689373297,,0.4996704021094265
51,0.8427556563787236,,,,,0.8240967707556218,0.820139595243941,,,,,,0.8036470205144904,,0.341725927349606,,0.16256524981357195
52,0.8781411794418488,,,,,0.6675471033632682,0.8391416519923011,,,,,,0.334924965893588,,0.8454815303430079,,0.6298157453936348
53,0.33444816053511706,,,0.29910714285714285,,0.2632952691680261,0.9020709237369217,,,0.0,,,,0.0,0.9688927292926799,,0.9652781927926851
54,0.0463173880030372,,,,,0.2765089722675367,0.9483350838845204,,,,,,,0.0,0.8835900290715656,,0.9756729131175469
55,0.9246053184464854,,,,,0.6758636329276589,0.8391320160019397,,,,,,0.0,,0.6762230405049974,,0.7602704108164327
56,0.8894679695982628,,,,,0.3490541365181763,0.801864251017461,,,,,,0.3756983240223464,,0.5596609846681269,,0.4412532637075718
57,0.9066517607602013,,,,,0.5306609597497737,0.8295111647555824,,,,,,0.2565284178187404,,0.7374530854499433,,0.07908163265306123
58,0.9349593495934959,,,,,0.4418836427058677,0.8675679436044894,0.542335605893996,,,,,0.32558139534883723,,0.7835946924004825,,0.6521035598705501
59,0.8264475048126758,,,,,0.5196043294387499,0.7909711286089239,,,,,,0.44322631166797183,,0.6179425498797226,,0.8249629882701287
60,0.9648775216138329,,,,,0.484069743015195,0.7359766920062958,,,,,,0.32478097622027535,,0.793303339678145,,0.6693711967545639
61,0.8711105792245093,,,,,0.638149906170659,0.8922925473391626,0.0,,,,,,,0.8886435157069508,,0.5472312703583062
62,0.7840152235965747,0.0,0.7445086705202312,,,0.4429770930137768,0.8040249920767872,0.549275126242059,,,,0.6143617021276596,,,0.0,,0.437659755751207
63,0.8921251348435815,,,,,0.6413176087840585,0.8259594020320555,,,,,,0.20045558086560364,,0.7967872534935353,,0.4869627336587689
64,0.7347912524850895,,,,,0.6001352417446185,0.8668577953788965,0.8193410180556973,,,,,0.061224489795918366,0.0,0.6355426544105789,,0.8333754102499369
65,0.34348075818495116,,,,,0.17509727626459143,0.9239889288222415,,,0.3951219512195122,,,,0.5767543859649122,0.9396729776247849,,0.9412092194633115
66,0.873592941892303,,,,,0.6667512948106022,0.7562363238512035,,,,,,0.11224489795918367,,0.7913247362250879,,0.04907161803713528
67,0.3050847457627119,,,,,0.3667875856509472,0.904672772244134,0.0,,0.13333333333333333,,,0.0,0.0,0.9635884074753128,,0.9169600331331539
68,0.9229618934667148,,,,,0.5982425585813806,0.810942810942811,,,,,,0.0,,0.7044119111642266,,0.1814611154752553
69,0.6179245283018868,,0.7865497076023392,,,0.7060072547111387,0.8360945755337206,,,,,,,,0.7192531457177649,,0.14321819713563605
70,0.8995037220843672,,,,,0.7840521970090651,0.8580495161493025,0.8568372682617652,,,,,,,0.3324396782841823,,0.5910996452757175
71,0.5078876490958061,,,,,0.461690271650801,0.7370745567978256,,,,,,0.5980935491021946,,0.8025527481114874,,
72,0.9320594479830149,,,,,0.6282163742690059,0.868762348649881,,,,,,0.0,,0.782041998551774,,0.4040632054176072
73,0.8097575943540963,,,,,0.370696154812767,0.8750101419878296,,,,,,,,0.6058185966913862,,0.8138797690478886
74,0.05214723926380368,,,,,0.5354947144942279,0.711188948219272,0.0,,,,,0.08921438082556592,,0.7693001443001443,,0.4486362477695641
75,0.7195892575039494,,,,,0.5293353323338331,0.8303308532531265,0.0,,,,,0.5794871794871795,,0.8871322414316045,,0.20481927710843373
76,0.9856309629572405,,,,,0.44432040189785094,0.9129617235554706,,,,,,,0.4368932038834951,0.8648991679593852,,0.6023391812865497
77,0.3609022556390977,,,0.0,,0.3452898550724638,0.9155441332860688,,,,,,0.0,0.0,0.9056965492057696,,0.9784785532805261
78,0.8075435203094777,,,,,0.5779919879819729,0.8845269072670362,,,,,,,0.41818181818181815,0.7074692294722644,,0.5565599804544344
79,0.8312805474095797,,,0.0,,0.6226606538895152,0.8534713604598001,,,,,0.6776859504132231,0.5271828665568369,,0.3619596541786744,,0.6487252124645893
80,0.9396620675864827,,,,,0.6338859583019342,0.8800812434765438,,,,,,0.021671826625386997,,0.6867603550295858,,0.5815
81,0.8855441985847468,,,,,0.4706018251126256,0.8792900500842431,,,,,,0.0,0.10526315789473684,0.793265465935787,,0.666023166023166
82,0.726656115758535,,,,,0.46399850383392555,0.9260745822082755,,,,,,0.08471074380165289,,0.7837734160219935,,0.3916349809885932
83,0.6334617501375894,,,,,0.2343032159264931,0.8839859125750984,0.7347045040354074,,,,,,0.2865853658536585,0.9439368900252565,,0.13618677042801555
84,0.7712087176791091,,,,,0.6123323397913562,0.845888021265991,,,,,,0.4012539184952978,,0.4728189127565103,,0.7868341924398625
85,0.9633051512246144,,,,,0.4982571649883811,0.8729293106986835,0.7187268689859363,,,,,0.19333333333333333,0.6086956521739131,0.43478260869565216,,0.3960036330608538
86,0.3176470588235294,,,,,0.1886380189366351,0.9048956827101838,0.5543996532293021,,0.05701754385964912,,,,0.08411214953271028,0.9720096295497826,,0.9249121660266362
87,0.959869744277368,,,,,0.5672790076935155,0.8956974447968404,,,,,,0.0,0.3791208791208791,0.78348497063227,,0.4936708860759494
88,0.9478584729981379,,,,,0.46712122963134173,0.8024679105465131,0.6406096361848574,,,,,0.5441319107662463,,0.8659682080924855,,0.5759212198221093
89,0.7429230769230769,,,,,0.7769661387220098,0.8322361509909657,,,,,,0.4742028985507246,,0.8590927073717526,,0.7017095382648986
90,0.8,,,,,0.40945303608488987,0.7489013769409008,0.8346132234500843,,,,,,,0.46754563894523327,,0.20465116279069767
91,0.6585512113216598,,,,,0.8133399701343952,0.7354374564864238,0.5401002506265664,,,,,0.4264705882352941,,0.6880270934324988,,0.0
92,0.8529650690495532,,,,,0.5837666088965916,0.8705039903793593,,,,,0.0,0.0,0.35294117647058826,0.5434782608695652,,0.677449168207024
93,0.6982681663988574,,,0.8360295272498822,,0.26732673267326734,0.9420964026227184,,,0.0,,,,0.2,0.8796244551246227,,0.951230065521078
94,0.6556510244547257,,,,,0.6451158940397351,0.8312548835755587,,,,,,0.0,,0.7127993930855099,,0.5169104204753199
95,0.9615055603079555,,,,,0.6107315447425429,0.8537847684034002,,,,,,0.0,,0.5869132290184922,,0.29377431906614787
96,0.8094956315917714,,,,,0.5856647685070562,0.85778083132944,,,,,0.0,0.2760849492151431,0.0,0.5710837921411871,,0.5517241379310345
97,0.903830668353848,,,,,0.5838037565431592,0.8062756134893596,,,,,,0.0,,0.8393365314253192,,0.0
98,0.7732164208848147,,,,,0.5778561354019746,0.8147125885035401,0.0,,,,,0.0,,0.6328129220463509,,0.6011939148854227
99,0.8445786833213883,,,0.8590700344431688,,0.0962406015037594,0.9160942100098135,0.7594159966144731,,,,,,0.0,0.8860443903922165,,0.9289714117300324
100,0.9172973465852102,,,,,0.5818120064532564,0.7859845257166229,,,,,,0.7502605071205279,,0.5748569612205976,,0.661387220098307
101,0.0,,,,,0.36129546057870987,0.9319314883339611,0.9484795878367027,,,,,,,0.0,,0.7384208204675783
102,0.9492608140171565,,,,,0.7087044712937649,0.8744761581153019,0.5967272727272728,,,,,0.17724867724867724,,0.8178807947019867,,0.41648106904231624
103,0.905708245243129,,,,,0.4762148337595908,0.8362674107044,0.0,,,,,,,0.7378969072164948,,0.4775510204081633
104,0.749400479616307,,,,,0.5109204368174727,0.8286660904638433,0.0,,,,,0.6596812922942589,,0.9218925831202046,,0.0
105,0.863855421686747,,,,,0.7464269248501614,0.9000436967445925,0.8807115063924402,,,,,0.20374707259953162,,0.7005894783672562,,0.6860103626943005
106,0.4404332129963899,,,0.6892190957951312,,0.0,0.966176370907612,,,0.0,,,,0.0,0.8804696449026346,,0.9608832807570978
107,0.9398891966759003,,,,,0.6945678168773488,0.8513711883632481,,,,,,0.4562751555067691,,0.8562579013906447,,0.5620767494356659
108,0.577626389386877,,,,,0.714660622688775,0.8158652619299332,0.5037475345167652,,,,0.0,0.0,,0.26001602564102566,,0.5975271259147111
109,0.7667484187427391,,,,,0.49528235459794395,0.8491468827625525,0.0,,,,,0.1583590648434054,,0.40270864683412433,,0.40554156171284633
110,0.43973098810139677,,,,,0.1485063399957017,0.8641890593692532,0.0,,,,,,0.3870967741935484,0.8068872383524646,,0.9686556768052008
111,0.9244629244629244,,,,,0.41524616199047115,0.8538910291689599,,,,,,0.22118380062305296,,0.8733236387138471,,0.9111057865101234
112,0.8148029349264264,,,,,0.5160919540229885,0.3848614875037639,0.039721509710516675,,,,,0.0,,0.6180675660094547,,0.0
113,0.8815950131739605,,,,,0.5238649592549476,0.8006485141918003,,,,,,0.032432432432432434,,0.5841038256001357,,0.0
114,0.619553196195532,,,0.7092675635276532,,0.5309290661571531,0.9060807844285087,,,0.3055555555555556,,,0.0,0.36395759717314485,0.8527993779160187,,0.9564042100419854
115,0.9582391865719819,,,,,0.6790998124609293,0.8772284016455889,0.7041269841269842,,,,,0.0,0.0,0.7268728004022121,,0.5317073170731708
116,0.8468033775633294,,,,,0.6794408455506308,0.8867900446713465,0.8308518005540166,,,,,,,0.7341692789968652,,0.5163841807909605
117,0.9391978637087249,,,,,0.6206039076376554,0.8937481993661769,,,,,,0.14473684210526316,0.0,0.7523101194500789,,0.5374189746611667
118,0.8876335502885915,,,,,0.48399098083427283,0.8674730708105245,,,,,,0.20382165605095542,,0.776165722709287,,0.07263922518159806
119,0.9050102734313261,,,,,0.27491166077738516,0.9329984574615354,,,0.08943089430894309,,,0.0,0.4111111111111111,0.8282776724515094,,0.9308176100628931
120,0.8984164163144763,,,0.0,,0.6416558861578266,0.8737431825770786,0.0,,,,,0.13348855258051998,,0.656568090104198,,
121,0.8812749525492506,,,,,0.7016285242843819,0.7915031852508121,,,,,,0.36619718309859156,,0.7786353647424559,,0.6188034188034188
122,0.78254051228437,,,,,0.5077730275942479,0.876547619047619,0.0,,,,,,,0.8027469316189363,,0.5929878048780488
123,0.8906776094276094,,,,,0.4229234675371781,0.8830591265887385,0.0,,,,,,,0.7580185533256533,,0.6205438066465256
124,0.7594377510040161,,,,,0.6945808328787052,0.8272500651114336,0.0,,,,,,,0.5207129094412332,,0.7057308435286542
125,0.6116700201207244,,,0.0,,0.17182737044761753,0.799230535587729,,,0.0,,,0.022058823529411766,0.11235955056179775,0.9622238348653444,,0.9609382479655337
126,0.9149217128843614,,,,,0.6204819277108434,0.8596613252721971,,0.0,,,,0.5110851808634772,,0.0,,0.4172794117647059
127,0.6882463859208046,,,,,0.5927659289964565,0.8499380478179065,0.0,,,,,0.0,,0.6580987352101183,,0.8036303630363036
128,0.9440513255967544,,,,,0.5805803571428572,0.9008679373723621,,,,,,0.5482128013300083,0.0,0.6824644549763034,,0.2
129,0.932791095890411,,,,,0.7354900748677794,0.8665185928208068,,,,,,,,0.8330994278311562,,0.6366294524189261
130,0.8294121186593658,,,,,0.47753503709810385,0.8862937922556853,,,,,,0.1763085399449036,0.46774193548387094,0.6415972087613878,,0.0892962743938498
131,0.8413080895008606,,,,,0.36089598474919576,0.8281034142490625,0.0,,,,,0.29469122426868904,,0.5056786703601108,,0.49832026875699886
132,0.5944206008583691,,,,,0.519700814745559,0.8799011560593755,,,,,,,,0.18896833503575078,,0.5114208935169634
133,0.8630867247432064,,,,,0.6604122947784224,0.8631952662721893,,,,,,0.5703824247355573,,0.7372068846020562,,0.4461538461538462
134,0.1396797153024911,,,,,0.5894457589445758,0.8134041476985331,0.0,,,,,,,0.8059088351153629,,0.44358251057827924
135,0.0,,,,,0.6776715899218071,0.7263794406651549,0.5231582657737046,,,,,0.0,,0.0,,0.3112970711297071
136,0.001160092807424594,,,,,0.4510086455331412,0.927572136403381,0.7308419368910862,,,,,,,0.8108747044917257,,
137,0.983238434163701,,,,,0.644347206675486,0.8046783625730994,,,,,,0.0,,0.4275960170697013,,0.5391959798994975
138,0.7983764394940532,,,,,0.5483648088438507,0.8213426403320906,,,,,,0.0,,0.8849389588209248,,0.46407021393307735
139,0.0,,,,,0.1811965811965812,0.9190913334370624,,,0.0,,,,0.38294010889292196,0.9628312070657508,,0.9668345528841585
140,0.7621293800539084,,,,,0.43879565646594276,0.8803035460424884,,,,,,,,0.6784200968523002,,0.772370802332596
141,0.7742054014330333,,0.9709824512919718,,,0.6803649687477549,0.7730461416856041,0.8787910207890508,,,,0.7559779276517474,0.664,,0.4280320906087777,,0.5151515151515151
142,0.87279843444227,,,,,0.7668452779638312,0.8141400792901643,,,,,,0.5283018867924528,,0.7301516503122212,,0.6118803418803419
143,0.7085610200364298,,,,,0.20831852115179525,0.9046845472930412,,,,,,0.0,0.056451612903225805,0.959913497547339,,0.9648595689092097
144,0.9682906688687035,,,,,0.35915077648908983,0.8940340406160694,,,,,,0.0,0.0,0.8957676913906157,,0.6213292117465224
145,0.72078501338091,,,,,0.5266469014390049,0.8565484485093521,,,,,,0.5265423242467718,,0.6263422818791946,,0.5505154639175258
146,0.9260584830947304,,,,,0.6506995494427318,0.9203990470518165,0.9106135703298581,,,,,,0.8844166440032635,0.5648578811369509,,0.6828046744574291
147,0.9503531221592896,,,,,0.6507945991157844,0.8096238938053097,0.8006314839873703,,,,,0.0,,0.5936439625920715,,0.5985
148,0.162217659137577,,,,,0.5980647966949337,0.7882044985985314,,,,,,0.0,,0.7284570844686649,,0.19799726900318615
149,0.6936776491540516,,,,,0.28449127428383275,0.8841771828539314,0.4614506927465363,,,,,,0.3,0.8849618508491263,,0.7932232841007819
150,0.9214577442664154,,,,,0.703768296480847,0.8397150489759573,,,,,,,,0.7979385272541555,,0.24429065743944636
151,0.8558661778185152,,,,,0.6226321654079485,0.9182375738420439,,,0.0,,,0.0,0.2347560975609756,0.5731196054254007,,0.47950819672131145
152,0.9292929292929293,,,,,0.7159309021113244,0.8202213949360223,0.7752849430113977,,,,,,,0.4707390004271679,,0.5233127864706812
153,0.8506591744110655,,,,,0.47783572359843546,0.8488939229328957,,,,,,0.5284586622351475,,0.7979573346511819,,0.3778801843317972
154,0.8806712243629583,,,,,0.6614349775784754,0.8207495357899417,0.0,,,,,0.0,,0.7127963679165966,,0.29307282415630553
155,0.8979465270121278,,,,,0.6740326813986961,0.8546513468173329,0.6088777219430486,,,,,0.507274490785645,,0.7477605321507761,,0.5843325339728217
156,0.7007428940568475,,,,,0.6616766467065869,0.8074240590235748,,,,,,0.4591280653950954,,0.709059829059829,,0.7042775345234086
157,0.656737814590634,,,,,0.35290159798149706,0.8752946359731248,,,,,,0.11392405063291139,,0.7749475157452764,,0.6354895104895105
158,0.8929693343305909,,,,,0.3552153606642449,0.9177944553805775,,,,,,0.0,,0.49018920812894184,,0.5641025641025641
159,0.8615384615384616,,,,,0.3746259724715739,0.6460201180844085,0.000687757909215956,,,,,0.4302877015491622,,0.3749423520368947,,0.4898236092265943
